MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Ramesh Chandappa Jigajinagi,Elected,5/23/2019,In office,6,Karnataka,Bijapur,Bharatiya Janata Party,Male,Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",67,0,0,0,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,2017-18,,,0,504122985,1600000
Gangasandra Siddappa Basavaraj,Elected,5/23/2019,In office,5,Karnataka,Tumkur,Bharatiya Janata Party,Male,Graduate Professional,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",78,3,0,9,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,1/11/2019,2.5,1,2019-20,,,0,510779150,113844867
Vincent H Pala,Elected,5/23/2019,In office,3,Meghalaya,Shillong,Indian National Congress,Male,Graduate Professional,"B.E. (Civil); Educated at Jalpaiguri Govt. Engineering College, North Bengal University, New Jalpaiguri, West Bengal",52,3,0,57,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,31,0.84,Lok Sabha,17th Lok Sabha,,,,,,,,,,,,0,549515421,0
Maneka Gandhi,Elected,5/23/2019,In office,8,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,Female,12th Pass,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",63,0,0,22,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.47,4.63,2,2019-2020,26-02-2020,2.5,2,,,,0,556926451,11935800
Mohammad Akbar Lone,Elected,5/23/2019,In office,1,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Graduate Professional,"B.A. LL.B. Educated at Kashmir University and Aligarh Muslim University, U.P",73,4,0,0,0.62, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.2,0,18,0.75,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,2,2017-18,"Eligible MPR not Received, Incorrect Utilisation Certificate.","Eligible MPR not Received, Incorrect Utilisation Certificate.",0,597434000,104935
Feroze Varun Gandhi,Elected,5/23/2019,In office,3,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Male,Post Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",39,4,1,54,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.61,4.95,2,2019-2020,27-02-2020,2.5,2,,,,0,603200539,28952800
Queen Oja,Elected,5/23/2019,In office,1,Assam,Gauhati,Bharatiya Janata Party,Female,Graduate,Information Not Available,69,16,0,40,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,630219570,34034178
Preneet Kaur,Elected,5/23/2019,In office,4,Punjab,Patiala,Indian National Congress,Female,Graduate,"B.A., T.T.C.; Educated at St. Bedes College and Convent of Jesus and Mary College, Shimla, Himachal Pradesh",75,6,0,0,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,21-08-2019,2.5,,,,,0,635973757,42453369
Mohanbhai Delkar,Elected,5/23/2019,In office,7,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Independent,Male,Graduate,B.A.,57,16,0,12,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,16,0,12,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,7/1/2020,2.5,1,1997-98,,,0,708885980,37268162
Udasi Shivkumar Chanabasappa,Elected,5/23/2019,In office,3,Karnataka,Haveri,Bharatiya Janata Party,Male,12th Pass,"B.E.; Educated at Bangalore Institute of Engineering, Bangalore, Karnataka",52,24,0,81,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,2,2019-20,,,0,718499195,165566495
P. C. Mohan,Elected,5/23/2019,In office,3,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,12th Pass,Educated at Vijiya College,56,2,0,30,0.8, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,0,755529306,312521957
Jayant Sinha,Elected,5/23/2019,In office,2,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Post Graduate,"Bachelor of Technology (IIT, Delhi), M.Sc. (University of Pennsylvania), M.B.A. (Harvard Business School)",56,6,0,42,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,25-02-2020,2.5,1,,,,0,770749002,193271437
Kesineni Srinivas,Elected,5/23/2019,In office,2,Andhra Pradesh,Vijayawada,Telugu Desam Party,Male,10th Pass,Matric,54,10,0,46,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,-1.31,2.51,1,2019-2020,17-09-2019,2.5,1,2018-19,,,0,808152415,512332955
Ajay Singh Dharmendra Deol,Elected,5/23/2019,In office,1,Punjab,Gurdaspur,Bharatiya Janata Party,Male,Others,Information Not Available,62,0,0,0,0.38, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,2.5,1.43,1.98,1,2019-2020,31-07-2019,2.5,2,2018-19,,,0,871925679,534644785
B.N. Bache Gowda,Elected,5/23/2019,In office,1,Karnataka,Chikkballapur,Bharatiya Janata Party,Male,Graduate Professional,"BSc., B.L., Educated at Mysore University, Karnataka",77,0,0,13,0.53, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.51,2.51,1,2019-2020,19-11-2019,2.5,1,2018-19,,,0,1153501141,0
Pinaki Misra,Elected,5/23/2019,In office,4,Odisha,Puri,Biju Janata Dal,Male,Graduate Professional,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",60,18,0,58,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,2,,,,0,1174701344,21932742
Sukhbir Singh Jaunapuria,Elected,5/23/2019,In office,2,Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,Male,12th Pass,B.Com.,62,11,0,49,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2019-20,,,0,1233802420,0
Anurag Sharma,Elected,5/23/2019,In office,1,Uttar Pradesh,Jhansi,Bharatiya Janata Party,Male,Post Graduate,"B.Com. (Hons), M. Com., OPM Programme, Educated at Hislop College, Nagpur, Bundelkhand University, U.P. and Harvard Business School, Harvard University",55,13,0,39,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,2,2017-18,"Eligible MPR not Received, Incorrect Audit Certificate.","Eligible MPR not Received, Incorrect Audit Certificate.",0,1243060113,14212970
Kotha Prabhakar Reddy,Elected,5/23/2019,In office,2,Telangana,Medak,Telangana Rashtra Samithi,Male,Graduate,"B.A., Govt. Degree College, Siddipet, Medak. A.P. from Osmania University",54,13,0,56,0.64, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,-0.68,1.36,1,2019-2020,4/10/2019,2.5,1,,,,0,1266581773,268266203
Supriya Sule,Elected,5/23/2019,In office,3,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",50,86,4,188,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2018-19,,,0,1408888704,5500000
Gaddam Ranjith Reddy,Elected,5/23/2019,In office,1,Telangana,Chelvella,Telangana Rashtra Samithi,Male,Post Graduate,Information Not Available,55,18,0,39,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,1.52,2.16,1,2019-2020,6/9/2019,2.5,1,,,,0,1634695131,197007553
Mala Rajya Laxmi Shah,Elected,5/23/2019,In office,3,Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,Female,12th Pass,"Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",69,2,0,2,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.8,1.3,9,0.97,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,1,,,,0,1846640100,1350000000
Harsimrat Kaur Badal,Elected,5/23/2019,In office,3,Punjab,Bathinda,Shiromani Akali Dal,Female,10th Pass,Degree in Dress designing,53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,5,2.99,3.9,2,2019-2020,19-02-2020,2.5,2,1997-98,,,0,2179919870,954852600
Adala Prabhakara Reddy,Elected,5/23/2019,In office,1,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,12th Pass,Information Not Available,71,2,0,30,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,1997-98,,,0,2211663364,152281255
Hema Malini,Elected,5/23/2019,In office,2,Uttar Pradesh,Mathura,Bharatiya Janata Party,Female,Doctorate,"Matric Educated at Andhra Mahila Sabha, Chennai",71,8,0,15,0.59, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-10-2019,2.5,1,,,,0,2508270292,131288062
Jayadev Galla,Elected,5/23/2019,In office,2,Andhra Pradesh,Guntur,Telugu Desam Party,Male,Graduate,Graduate,53,33,0,78,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,4/10/2019,2.5,1,2018-19,,,0,3051485242,203452417
H. Vasanthakumar,Elected,5/23/2019,In office,1,Tamil Nadu,Kanniyakumari,Indian National Congress,Male,Post Graduate,Master of Arts (Tamil),69,32,2,87,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,2,1997-98,,,0,4174930444,1547511439
Nakul Nath,Elected,5/23/2019,In office,1,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"Bachelor of Business Administration (BBA) Educated at Bay State College, Boston, USA",45,1,0,2,0.73, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,0.22,1.48,2,2019-2020,6/2/2020,2.5,1,1997-98,,,0,6601946757,8791712
Sadhvi Pragya Singh Thakur,Elected,5/23/2019,In office,1,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Female,Post Graduate,Information Not Available,50,11,0,2,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,2.81,3.04,2,2019-2020,6/2/2020,2.5,2,2019-20,,,1,444224,0
Jamyang Tsering Namgyal,Elected,5/23/2019,In office,1,Jammu and Kashmir,Ladakh,Bharatiya Janata Party,Male,Graduate,"Bachelor of Arts, Educated at University of Jammu, J & K",34,14,0,17,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.2,0,18,0.75,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,2,2018-19,"Eligible MPR not Received, Utilisation Certificate Pending.","Eligible MPR not Received, Utilisation Certificate Pending.",1,981904,0
Bishweswar Tudu,Elected,5/23/2019,In office,1,Odisha,Mayurbhanj,Bharatiya Janata Party,Male,10th Pass,Information Not Available,Information not available,1,0,0,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.2,2.45,1,2019-2020,24-09-2019,2.5,1,2019-20,,,1,2742000,400000
Anto Antony,Elected,5/23/2019,In office,3,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",62,17,0,94,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,,,,1,6075876,7723227
Deepak Baij,Elected,5/23/2019,In office,1,Chhattisgarh,Bastar,Indian National Congress,Male,Post Graduate,Information Not Available,38,9,0,75,0.8, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,0.96,1.88,1,2019-2020,6/11/2019,2.5,1,,,,1,7721293,1801236
Bhanu Pratap Singh Verma,Elected,5/23/2019,In office,5,Uttar Pradesh,Jalaun,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B. 
Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",62,18,1,30,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,2019-20,,,1,10699516,12265
Chudasama Rajeshbhai Naranbhai,Elected,5/23/2019,In office,2,Gujarat,Junagadh,Bharatiya Janata Party,Male,12th Pass,Information not available,37,2,0,96,0.67, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,2,,,,1,10866041,1481768
Unmesh Bhaiyyasaheb Patil,Elected,5/23/2019,In office,1,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,41,7,0,41,0.71, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,2019-20,,,1,12324604,2529954
M. K. Raghavan,Elected,5/23/2019,In office,3,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,67,13,0,64,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,2019-20,,,1,12502009,3174805
Aparupa Poddar (Afrin Ali),Elected,5/23/2019,In office,2,West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,"LLB, MA (English)",34,24,0,4,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,1,12527597,4244000
Suresh Kodikunnil,Elected,5/23/2019,In office,7,Kerala,Mavelikkara,Indian National Congress,Male,Post Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",57,40,1,80,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,2,,,,1,12965129,982819
Prasun Banerjee,Elected,5/23/2019,In office,3,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,B.Sc.,64,9,0,42,0.85, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,2,,,,1,13216066,0
Dulal Chandra Goswami,Elected,5/23/2019,In office,1,Bihar,Katihar,Janata Dal (United),Male,Graduate,Information Not Available,Information not available,10,0,15,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,,,,,1,13302734,3130766
Mahesh Sahoo,Elected,5/23/2019,In office,1,Odisha,Dhenkanal,Biju Janata Dal,Male,12th Pass,Information Not Available,59,16,0,7,0.85, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,1997-98,,,1,14529286,0
Sanjeev Kumar Balyan,Elected,5/23/2019,In office,2,Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,Male,Doctorate,Ph.D. in Veterinary Anatomy,47,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,,,,,1,15781189,2373645
Rajbahadur Singh,Elected,5/23/2019,In office,1,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,52,3,0,0,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,2.75,3.52,2,2019-2020,27-02-2020,2.5,1,1997-98,,,1,16416828,547428
Jagannath Sarkar,Elected,5/23/2019,In office,1,West Bengal,Ranaghat,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,Information not available,2,0,0,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",1,17622476,0
Upendra Singh Rawat,Elected,5/23/2019,In office,1,Uttar Pradesh,Barabanki,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,51,4,0,53,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,1,2018-19,,,1,18050127,3171774
Chirag Kumar Paswan,Elected,5/23/2019,In office,2,Bihar,Jamui,Lok Jan Shakti Party,Male,Graduate Professional,B. Tech Computer Science,37,10,0,22,0.73, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,1,18466066,0
Bhola Singh,Elected,5/23/2019,In office,2,Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Graduate,Graduate,42,6,0,88,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,0.03,1.75,1,2019-2020,12/9/2019,2.5,2,2017-18,"Eligible MPR not Received, Utilisation Certificate Pending.","Eligible MPR not Received, Utilisation Certificate Pending.",1,18728861,0
Shrikant Eknath Shinde,Elected,5/23/2019,In office,2,Maharashtra,Kalyan,Shiv Sena,Male,Post Graduate,"M.B.B.S., MS Orthpaedics (Final Yr.)",33,41,4,132,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,2019-20,,,1,19616515,1241233
Kavitha Malothu,Elected,5/23/2019,In office,1,Telangana,Mahabubabad,Telangana Rashtra Samithi,Female,Graduate,Information Not Available,39,3,0,0,0.62, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,4/10/2019,2.5,1,,,,1,19731269,1252068
Subhas Sarkar,Elected,5/23/2019,In office,1,West Bengal,Bankura,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,66,19,0,21,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,1,19799440,3261495
Giridhari Yadav,Elected,5/23/2019,In office,3,Bihar,Banka,Janata Dal (United),Male,Post Graduate,"M.A., LL.B., Educated at Bhagalpur University, Bhagalpur (Bihar) and Dr. Hari Singh Gaur University, Sagar (Madhya Pradesh)",58,5,0,89,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,5,0.01,1.29,2,2019-2020,23-01-2020,2.5,2,-,,,1,19816050,405701
P.R. Natarajan,Elected,5/23/2019,In office,2,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,12th Pass,B.A (Incomplete); Educated at Madras University,69,21,0,56,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,,,,1,20284430,3234168
Rajmohan Unnithan,Elected,5/23/2019,In office,1,Kerala,Kasaragod,Indian National Congress,Male,Graduate,Information Not Available,66,11,0,24,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,1,21570257,862257
Narendra Singh Tomar,Elected,5/23/2019,In office,3,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",62,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,,,,,1,23062224,6689767
Chhatar Singh Darbar,Elected,5/23/2019,In office,3,Madhya Pradesh,Dhar,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B. Educated at Government College of Arts and Commerce, Indore and Christian College, Indore",66,4,0,10,0.77, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,1.16,2.85,2,2019-2020,19-02-2020,2.5,2,,,,1,23198238,2471613
Geeta Kora,Elected,5/23/2019,In office,1,Jharkhand,Singhbhum,Indian National Congress,Female,Post Graduate,Information Not Available,Information not available,2,0,0,0.55, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/1/2020,2.5,1,,,,1,25249018,1928508
Arvind Sawant,Elected,5/23/2019,In office,2,Maharashtra,Mumbai-South,Shiv Sena,Male,Graduate,B.Sc.,68,19,0,9,1,"This MP was a minister from May 2019 to Nov 11, 2019. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",5.9,0.1,21,0.85,7.5,0.1,39,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2019-20,,,1,27181577,0
Girish Chandra,Elected,5/23/2019,In office,1,Uttar Pradesh,Nagina,Bahujan Samaj Party,Male,12th Pass,Information Not Available,56,24,0,0,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.52,3.65,2,2019-2020,6/3/2020,2.5,1,1997-98,,,1,28659644,9062600
