MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Jasbir Singh,Elected,5/23/2019,In office,1,Punjab,Khadoor Sahib,Indian National Congress,Male,Others,Information Not Available,Information not available,22,0,24,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,5,3.12,3.75,2,2019-2020,19-02-2020,2.5,2,,,,0,81393500,4655000
G. Kishan Reddy,Elected,5/23/2019,In office,1,Telangana,Secunderabad,Bharatiya Janata Party,Male,Others,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",59,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,1,,,,0,81430778,4500000
Bhagirath Chaudhary,Elected,5/23/2019,In office,1,Rajasthan,Ajmer,Bharatiya Janata Party,Male,12th Pass,Information Not Available,65,24,0,19,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,,,,0,85101774,8319942
Chinta Anuradha,Elected,5/23/2019,In office,1,Andhra Pradesh,Amalapuram,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"B.A. Educated at Lalitha Degree College, Osmania University, Hyderabad (now Telangana), Andhra Pradesh",47,7,0,3,0.76, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,0.74,2.5,1,2019-2020,17-09-2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,85993362,2431407
Rajendra Dhedya Gavit,Elected,5/23/2019,In office,2,Maharashtra,Palghar,Shiv Sena,Male,Graduate,"B.A. Educated at Mumbai University, Maharashtra",52,11,0,37,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,0.84,1.69,1,2019-2020,12/9/2019,2.5,2,2017-18,"Audit Certificate Pending, Utilisation Certificate Pending.","Audit Certificate Pending, Utilisation Certificate Pending.",0,87616920,30223375
Hasnain Masoodi,Elected,5/23/2019,In office,1,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A., LL.M, Educated at Harvard Law School, Harvard University, USA",66,26,0,20,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.2,0,18,0.75,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,2016-17,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",0,87620672,0
Devji Patel,Elected,5/23/2019,In office,3,Rajasthan,Jalore,Bharatiya Janata Party,Male,10th Pass,Matriculation,43,49,3,82,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,1997-98,,,0,88332292,60936530
Sangeeta Azad,Elected,5/23/2019,In office,1,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Female,Graduate Professional,Information Not Available,38,12,0,5,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,,,,0,88451770,0
Dhal Singh Bisen,Elected,5/23/2019,In office,1,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Others,"A.V.M.S., D.H.B. (Ayurved Vigyanacharya with Modern Medicine and Surgery, Diploma in Trauma and Biochemistry) Educated at Chhattisgarh Ayurvedic College, Raipur, Chhattisgarh",67,13,0,11,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,1.18,1.18,1,2019-2020,10/10/2019,2.5,,,,,0,88648133,1530693
Kirit Premjibhai Solanki,Elected,5/23/2019,In office,3,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",69,72,7,81,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,89474039,0
Arjun Munda,Elected,5/23/2019,In office,2,Jharkhand,Khunti,Bharatiya Janata Party,Male,12th Pass,"Graduate, Diploma in Social Science; Educated at IGNOU",51,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-01-2020,2.5,1,,,,0,91507865,27106434
Beesetti Venkata Satyavathi,Elected,5/23/2019,In office,1,Andhra Pradesh,Anakapalli,Yuvajana Sramika Rythu Congress Party,Female,Graduate Professional,Information Not Available,53,23,0,8,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,91526244,11139279
Sumathy Thamizhachi Thangapandian,Elected,5/23/2019,In office,1,Tamil Nadu,Chennai South,Dravida Munnetra Kazhagam,Female,Doctorate,Information Not Available,57,13,0,37,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,1997-98,,,0,91793460,500000
Sanjay Sadashivrao Mandlik,Elected,5/23/2019,In office,1,Maharashtra,Kolhapur,Shiv Sena,Male,Post Graduate,Information Not Available,55,5,0,124,0.61, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,2018-19,,,0,95171892,10580414
Krupal Balaji Tumane,Elected,5/23/2019,In office,2,Maharashtra,Ramtek,Shiv Sena,Male,Graduate,B.Sc,54,12,0,71,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,2019-20,,,0,95603165,4228793
A. Narayanaswamy,Elected,5/23/2019,In office,1,Karnataka,Chitradurga,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Government Arts College, Bengaluru",62,2,0,12,0.68, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,0,96197642,0
Annpurna Devi,Elected,5/23/2019,In office,1,Jharkhand,Kodarma,Bharatiya Janata Party,Female,Post Graduate,"Educated at Ranchi University, Jharkhand",50,10,0,58,0.65, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,1/10/2019,2.5,1,,,,0,97636939,3189066
Prajwal Ravanna,Elected,5/23/2019,In office,1,Karnataka,Hassan,Janata Dal (Secular),Male,Graduate Professional,Information Not Available,29,1,0,0,0.45, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,0.01,0.67,1,2019-2020,29-08-2019,2.5,2,2017-18,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,97848632,37253210
Santokh Singh Chaudhary,Elected,5/23/2019,In office,2,Punjab,Jalandhar,Indian National Congress,Male,Graduate Professional,"B.A., L.L.B.",73,6,0,39,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,2.5,2.37,2.45,1,2019-2020,29-08-2019,2.5,,,,,0,99925185,2534363
Gajanan Chandrakant Kirtikar,Elected,5/23/2019,In office,2,Maharashtra,Mumbai-North-West,Shiv Sena,Male,Graduate,B.A. (Ecomomics),76,13,0,156,0.76, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2018-19,,,0,105392000,4032000
Bhartruhari Mahtab,Elected,5/23/2019,In office,6,Odisha,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",62,61,3,92,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,1997-98,,,0,106894976,0
Ve. Vaithilingam,Elected,5/23/2019,In office,1,Puducherry,Puducherry,Indian National Congress,Male,Graduate,Information Not Available,69,8,0,8,0.7, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,8,0,8,0.7,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,1,1997-98,,,0,108015548,520989
Satish Kumar,Elected,5/23/2019,In office,2,Uttar Pradesh,Aligarh,Bharatiya Janata Party,Male,10th Pass,10th Pass,47,2,0,0,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.65,4.19,2,2019-2020,26-02-2020,2.5,1,1997-98,,,0,109522559,28095176
Smriti Zubin Irani,Elected,5/23/2019,In office,1,Uttar Pradesh,Amethi,Bharatiya Janata Party,Female,12th Pass,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",43,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,2,2018-19,Incorrect Audit Certificate.,Incorrect Audit Certificate.,0,111099609,0
Bharti Pravin Pawar,Elected,5/23/2019,In office,1,Maharashtra,Dindori,Bharatiya Janata Party,Female,Graduate Professional,Information Not Available,41,27,0,74,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,0,122885349,1449572
